Úroveň 1,Úroveň 2,Úroveň 3,Název (ČJ),Vysvětlení (ČJ),Příklady (ČJ),Term (EN),Explanation (EN),,,,,,,,,,
,,CAA,Kondenzátor,objekt ukládání kapacity pro elektrické nabíjení,"spínač, zapalovač, roznětka",Capacitor,capacitive storing object for electric charge,,,,,,,,,,kondenzátor
,CB?,,Objekt ukládající indukcí,objekt pro ukládání elektrické energie do elektromagnetického pole,,Inductive storing object,storing object for electric energy within an electromagnetic field,,,,,,,,,,objekt ukládající indukcí
,,CBA,Induktor,objekt ukládající indukcí pro indukční nabíjení,induktor,Inductor,inductive storing object for inductive charge,,,,,,,,,,induktor
,CC?,,Objekt ukládající elektrochemicky,objekt pro ukládání elektrickou energii v podobě elektrochomické substance,,Electrochemical storing object,storing object for electric energy within an electrochemical substance,,,,,,,,,,objekt ukládající elektrochemicky
,,CCA,Dobíjecí baterie,objekt ukládající elektrochemicky pomocí reverzibilní reakce,"akumulátor, elektrolytický kondenzátor",Rechargeable battery,electrochemical storing object by reversible reactions,,,,,,,,,,dobíjecí baterie
,CF?,,Objekt ukládající informace,objekt pro ukládání informací,,Information storing object,storing object for information,,,,,,,,,,objekt ukládající informace
,,CFA,Medium ukládající informace,objekt ukládající informace na médium,"CD, disketa, flashdrive, paměťová karta, pevný disk, uložiště, usb-paměť, ssd-paměť, magnetická páska ",Information storing media,information storing object on a carrier medium,,,,,,,,,,medium ukládající informace
,CL?,,Otevřený stacionární objekt sloužící k uložení,objekt pro ukládání hmoty nebo lidí v částečně uzavřených prostorách,,Open stationary storing object,storing object for matters or persons within a stationary open enclosure,,,,,,,,,,otevřený stacionární objekt sloužící k uložení
,,CLA,Káď,otevřený stacionární objekt sloužící k uložení tekutin,"vana, bazén, magazín, nádoba, otevřená nádrž",Pool,open stationary enclosure storing object for fluids,,,,,,,,,,káď
,,CLB,Police,otevřený stacionární objekt sloužící k uložení pevných objektů,"police na knihy, botník, okení parapet, regál",Shelf,open stationary storing object for solid objects,,,,,,,,,,police
,,CLC,Sedadlo,otevřený stacionární objekt sloužící pro osoby,"lavička, lehátko, divan, křeslo, stolička, pohovka, židle, postel",Seat,open stationary storing object for persons,,,,,,,,,,sedadlo
,CM?,,Uzavřený stacionární objekt sloužící k uložení,objekt pro ukládání hmoty v uzavřeném prostoru,,Enclosed stationary storing object,storing object for matters within a stationary closed enclosure,,,,,,,,,,uzavřený stacionární objekt sloužící k uložení
,,CMA,Nádrž,uzavřený stacionární objekt sloužící k uložení kapaliny nebo plynu,"hydrofor, hydropres, nádrž na chladící médium, latrina, odpadní nádrž",Tank,enclosed stationary storing object for fluids,,,,,,,,,,nádrž
,,CMB,Skříň,uzavřený stacionární objekt sloužící k uložení pevných látek,"úložná skříň, šatní skříň, úklidová skříň, trezor",Box,enclosed stationary storing object for solid matters,,,,,,,,,,skříň
,CN?,,Přesouvatelný úložný objekt,"objekt pro ukládání věcí nebo osob v prostoru, který je možné přesunout",,Moveable storing object,storing object for matters or persons within a moveable closed enclosure,,,,,,,,,,přesouvatelný úložný objekt
